v1,v2
spam,"Your GTBank account has been flagged for BVN verification, click here to update now https://gtbankupdate.net"
spam,"Access Bank alert: your debit card has been blocked due to suspicious activity, visit https://accessbank.com/update to unblock"
spam,"Zenith Bank: your account is due for KYC verification, kindly update your details at https://zenithbankonline.com/kyc"
spam,"UBA: we've noticed an unusual login on your account, verify your identity now https://ubagroup.com/securelogin"
spam,"First Bank: your NIN update is overdue, click this link to update now https://firstbanknigeria.com/nin"
spam,"Fidelity Bank: your account has been suspended due to incomplete KYC, update now at https://fidelitybank.ng/kyc"
spam,"Opay: your wallet has been debited with an unknown transaction, click https://opay.com.ng/resolve to rectify"
spam,"PalmPay: we detected a suspicious login on your account, verify your OTP at https://palmpay.com/security"
spam,"Moniepoint: your POS settlement is pending, log in to https://moniepoint.com/settlement to resolve"
spam,"Kuda: your account has been flagged for review, update your BVN now at https://kuda.com/bvn"
spam,"GTBank: verify your account to avoid suspension, click https://gtbank.com/verify now"
spam,"Access Bank: confirm your NIN to avoid account restrictions, visit https://accessbank.com/nin"
spam,"Zenith Bank: your debit card is due for renewal, apply now at https://zenithbank.com/renewal"
spam,"UBA: you have a new transfer of N100,000, verify at https://ubagroup.com/transfers"
spam,"First Bank: your account has been debited with N50,000, check details at https://firstbanknigeria.com/account"
spam,"Fidelity Bank: apply for a loan of up to N1,000,000 at https://fidelitybank.ng/loan"
spam,"Opay: you've been selected for a cashback reward, claim now at https://opay.com.ng/reward"
spam,"PalmPay: update your KYC to unlock new features, visit https://palmpay.com/kyc"
spam,"Moniepoint: your daily POS limit has been exceeded, increase limit at https://moniepoint.com/limit"
spam,"Kuda: we've sent an OTP to your phone, verify now at https://kuda.com/otp"
spam,"GTBank: your BVN is undergoing verification, check status at https://gtbank.com/bvnstatus"
spam,"Access Bank: your debit card is blocked, unblock now at https://accessbank.com/unblock"
spam,"Zenith Bank: your account is under review, update NIN at https://zenithbankonline.com/nin"
spam,"UBA: confirm your account details to receive a new debit card, visit https://ubagroup.com/card"
spam,"First Bank: you have an uncleared transfer, resolve at https://firstbanknigeria.com/transfer"
spam,"Fidelity Bank: your loan application has been approved, accept offer at https://fidelitybank.ng/offer"
spam,"Opay: your wallet has been credited with N20,000, check balance at https://opay.com.ng/wallet"
spam,"PalmPay: update your account to avoid suspension, visit https://palmpay.com/update"
spam,"Moniepoint: your POS machine requires software update, download now at https://moniepoint.com/update"
